0.39938;-77.06529
0.48997;-6.01397
0.93488;-17.33597
1.12551;-10.50949
1.33394;-5.70783
2.09653;29.09083
2.29204;59.15022
2.35225;-45.74699
2.81628;-15.46732
3.30896;15.18362
3.65045;20.20670
3.66014;-18.93269
4.27307;38.68168
4.58211;36.78533
4.85701;-8.82383
5.00798;-64.87762
6.41334;-77.25504
6.55048;-43.67991
6.57028;-42.30512
6.98214;-33.00704
7.85357;-48.80356
7.88567;-62.95809
7.88898;-62.96545
7.94299;54.52232
8.24994;62.93179
9.22016;33.71935
9.24278;53.89693
9.63958;29.31237
9.83166;30.86123
10.12661;56.53741
10.33157;-46.08501
10.51618;50.51254
10.83852;-57.46310
10.86704;47.02464
10.89678;-17.98668
11.04752;-10.60927
11.18126;48.28438
11.83496;24.26738
12.17040;7.58520
12.20831;50.96819
12.27125;57.81655
12.45346;41.07895
13.25204;-1.14422
13.26783;61.12356
13.75080;58.97280
14.16671;59.18117
14.17709;60.71675
14.18791;38.49926
14.30178;23.41776
14.65144;-29.35746
15.73607;7.89007
16.52128;-46.71849
17.09608;-55.24583
17.14693;-10.18193
17.18400;86.25712
17.37551;47.24182
17.43249;35.62083
17.77471;55.14995
17.86331;21.03468
17.91494;30.08973
18.43723;24.58376
18.79403;-45.53210
18.93956;-68.87624
19.86657;27.26409
20.02049;58.23162
20.58497;45.52876
21.00605;-8.18275
21.40504;-14.59875
21.45251;60.23540
21.48293;68.12995
21.91285;45.40695
22.09142;-43.31773
22.54560;6.14393
22.81242;-49.07308
22.87081;15.34583
23.48302;59.23210
24.19990;41.40638
24.42813;-57.23666
24.49793;48.62849
25.14502;40.57711
25.35795;5.48760
25.44382;42.61381
25.68132;-3.69012
25.91506;50.68877
26.02136;-15.93956
26.34829;9.15764
27.39663;-10.68618
27.86504;-10.33495
28.27042;29.57940
28.38236;19.29409
28.38890;3.18748
28.41175;-46.30245
28.59868;63.67015
28.65979;20.80830
28.73340;-67.64748
28.98680;-51.60959
29.00002;68.68527
29.16733;-22.52671
29.29164;-47.38530
29.48240;23.59610
29.69113;-61.56992
30.00094;-21.07777
30.48979;70.90705
30.51167;2.76376
30.57531;54.48755
30.85913;72.42124
30.97466;42.32985
31.12263;-29.29684
31.79286;23.46278
32.12144;37.85918
32.35536;25.93997
32.38550;34.98739
33.09302;30.30322
33.25005;8.84675
33.30559;44.23169
34.12708;-51.51211
34.26007;34.22483
34.32848;33.84732
35.43760;-68.65942
36.40584;50.27867
36.48755;-12.29045
36.74627;-47.70383
37.03966;8.46009
37.26662;67.40238
37.94615;89.26414
38.02199;-15.24432
38.46130;-28.23234
38.96870;5.59330
39.87062;0.32852
39.89055;-11.87158
39.89677;-68.26695
39.94966;-42.89163
40.16638;-39.85531
40.56220;40.19439
40.82552;3.23617
40.86296;27.70717
41.03064;-13.85868
41.04870;49.22867
41.23489;10.11422
41.27492;-18.57265
41.38555;-67.61672
41.97684;29.24742
42.27233;-32.40628
42.49579;27.26079
42.61890;-75.06688
42.64548;38.31891
42.67414;55.89553
42.75977;-21.00398
42.87846;35.05989
43.56443;52.76249
44.10668;-8.89761
44.56548;-40.30473
44.69021;39.66283
44.69903;-64.07130
44.76546;35.18311
44.80306;21.34044
44.92873;8.90740
45.56991;4.08993
45.59830;-23.62434
46.19913;53.50645
46.29374;38.84053
46.38511;56.70555
47.04221;40.95565
47.26201;49.61350
47.37345;44.85789
47.82251;39.61157
47.90696;19.72670
47.98433;74.39387
48.01783;-28.98911
48.72548;21.04463
48.95844;-8.81984
49.59207;-22.51115
49.68260;34.22267
49.83975;3.36997
49.87904;-21.75794
49.97177;-43.07155
49.99690;65.65233
50.08486;29.04850
50.36086;43.32965
51.08062;49.86124
51.20349;9.02907
51.79217;9.73277
52.01271;49.06293
52.26723;59.94033
52.34179;49.50902
52.34244;-62.93843
52.47811;58.87875
52.64368;47.99517
52.65437;-5.07516
52.71820;12.93668
53.23509;-9.45831
53.44687;-21.63282
54.12233;48.19270
54.21883;0.40283
54.27366;-40.27451
55.56208;-31.93840
55.59435;33.96504
55.70884;-37.31334
55.73118;47.78765
55.81232;-9.76520
56.04815;-64.80709
56.07969;32.28827
56.21885;24.11345
56.29851;42.57854
56.30201;24.46738
56.45664;24.36786
56.50972;63.34507
56.53543;-12.10174
56.58150;23.94846
56.71245;-23.24844
56.80930;-74.23924
56.87110;24.10524
57.14926;-37.62013
57.29055;24.05352
57.36367;-36.20011
57.38036;65.52601
57.58948;71.33237
58.42785;-24.61221
58.53299;31.88366
58.57286;-2.95473
59.28455;61.10892
59.35598;63.07225
59.46342;40.01027
59.50721;-13.50824
59.68641;-61.40015
59.74125;35.79103
59.98115;-24.01626
60.17009;12.49038
60.22419;-62.15937
60.32530;-61.07905
60.78907;5.98931
61.17357;22.08207
61.64606;50.35135
62.16531;47.71259
62.71014;-41.99374
62.96639;-6.83778
63.48496;9.26390
63.50034;-42.29387
63.59872;-10.25589
63.60596;-62.47398
63.72213;40.48372
63.72441;48.40937
63.82349;-7.64456
63.88352;8.89241
64.00621;-51.48710
64.12118;-59.30175
64.31536;20.57874
64.47341;-33.79833
64.56073;50.29564
64.94806;15.62770
65.08848;27.35094
65.10273;34.56674
65.38812;46.49896
65.73345;17.54258
66.00902;-34.01699
66.02372;17.44421
66.34208;22.29398
66.37216;17.92799
66.57664;22.81369
66.58613;15.61835
66.65157;14.71386
67.10985;16.35963
67.14347;15.96222
67.15389;19.18052
67.16531;15.87095
67.63987;16.19408
67.96946;-0.04399
68.37762;-29.76583
68.46190;14.84449
68.49883;-55.04501
